    A       	B
    0.3950   -3.4401
    0.4052   -3.3467
    0.4153   -3.2521
    0.4254   -3.1566
    0.4355   -3.0602
    0.4457   -2.9634
    0.4558   -2.8665
    0.4659   -2.7698
    0.4761   -2.6739
    0.4862   -2.5794
    0.4963   -2.4871
    0.5064   -2.3979
    0.5166   -2.3130
    0.5267   -2.2340
    0.5368   -2.1630
    0.5470   -2.1025
    0.5571   -2.0557
    0.5672   -2.0257
    0.5774   -2.0154
    0.5875   -2.0143
    0.5976   -2.0111
    0.6077   -2.0058
    0.6178   -1.9984
    0.6279   -1.9889
    0.6380   -1.9772
    0.6481   -1.9635
    0.6582   -1.9478
    0.6683   -1.9300
    0.6784   -1.9102
    0.6885   -1.8885
    0.6986   -1.8648
    0.7087   -1.8393
    0.7188   -1.8119
    0.7289   -1.7827
    0.7390   -1.7519
    0.7491   -1.7194
    0.7592   -1.6853
    0.7693   -1.6498
    0.7794   -1.6129
    0.7895   -1.5748
    0.7996   -1.5355
    0.8097   -1.4954
    0.8198   -1.4544
    0.8299   -1.4129
    0.8400   -1.3711
    0.8501   -1.3291
    0.8602   -1.2875
    0.8703   -1.2465
    0.8804   -1.2068
    0.8905   -1.1698
    0.9006   -1.1489
    0.9107   -1.1607
    0.9209   -1.1606
    0.9311   -1.1602
    0.9412   -1.1596
    0.9514   -1.1587
    0.9616   -1.1575
    0.9718   -1.1562
    0.9820   -1.1547
    0.9922   -1.1531
    1.0024   -1.1514
    1.0126   -1.1497
    1.0227   -1.1437
    1.0328   -1.1463
    1.0429   -1.1605
    1.0530   -1.1809
    1.0631   -1.2052
    1.0732   -1.2323
    1.0833   -1.2615
    1.0934   -1.2922
    1.1035   -1.3239
    1.1136   -1.3562
    1.1237   -1.3888
    1.1338   -1.4213
    1.1439   -1.4535
    1.1540   -1.4851
    1.1641   -1.5160
    1.1742   -1.5459
    1.1843   -1.5747
    1.1944   -1.6024
    1.2045   -1.6286
    1.2146   -1.6535
    1.2247   -1.6768
    1.2348   -1.6984
    1.2449   -1.7184
    1.2550   -1.7367
    1.2651   -1.7532
    1.2752   -1.7678
    1.2853   -1.7805
    1.2954   -1.7913
    1.3055   -1.8002
    1.3156   -1.8072
    1.3257   -1.8122
    1.3358   -1.8151
    1.3459   -1.8161
    1.3560   -1.8167
    1.3662   -1.8199
    1.3763   -1.8295
    1.3864   -1.8490
    1.3965   -1.8801
    1.4067   -1.9228
    1.4168   -1.9761
    1.4269   -2.0383
    1.4371   -2.1078
    1.4472   -2.1829
    1.4573   -2.2623
    1.4674   -2.3449
    1.4776   -2.4297
    1.4877   -2.5161
    1.4978   -2.6033
    1.5080   -2.6909
    1.5181   -2.7785
    1.5282   -2.8656
    1.5384   -2.9521
    1.5485   -3.0376
    1.5586   -3.1220
    1.5687   -3.2050
    1.5789   -3.2866
    1.5890   -3.3666
    1.5991   -3.4448
    1.6093   -3.5213
    1.6194   -3.5958
    1.6295   -3.6683
    1.6396   -3.7388
    1.6498   -3.8072
    1.6599   -3.8734
    1.6700   -3.9374
    1.6802   -3.9991
    1.6903   -4.0585
    1.7004   -4.1156
    1.7105   -4.1704
    1.7207   -4.2227
    1.7308   -4.2726
    1.7409   -4.3201
    1.7511   -4.3651
    1.7612   -4.4077
    1.7713   -4.4477
    1.7814   -4.4852
    1.7916   -4.5202
    1.8017   -4.5526
    1.8118   -4.5825
    1.8220   -4.6098
    1.8321   -4.6346
    1.8422   -4.6567
    1.8523   -4.6763
    1.8625   -4.6933
    1.8726   -4.7077
    1.8827   -4.7194
    1.8929   -4.7286
    1.9030   -4.7351
    1.9131   -4.7390
    1.9233   -4.7403
    1.9334   -4.8173
    1.9436   -4.8919
    1.9538   -4.9641
    1.9640   -5.0339
    1.9742   -5.1012
    1.9844   -5.1659
    1.9946   -5.2280
    2.0048   -5.2871
    2.0150   -5.3420
    2.0251   -5.3776

    0.0000   -3.8716
    0.0101   -3.8703
    0.0203   -3.8665
    0.0304   -3.8602
    0.0405   -3.8513
    0.0506   -3.8399
